id,start,end,duration,title,medium,camera,action,sound,voice_start,voice_end,voice,evidence
S01,0,12,12,潮水与折痕,3D→2D,85mm纸纤维极近景，折痕斜贯画面；叠化为同方向浪脊。低机位静置，船影进入远处。,0–3秒黑场潮声；3–7秒纸；7秒叠化；10秒片名。用同一条斜线串起海与案头。,纸擦声先出现，潮声接替；音乐暂不进。,2,11,一道奏折，可以把远方的消息带到皇帝面前。可是，消息到达时，远方还是原来的样子吗？,解释性设问
S02,12,22,10,珠江口的日常,3D＋分层绘景,28mm岸上平视横移，前景缆绳遮挡；中景货船与卸货人影；远景低密度瓦屋。,先见生活，再从帆后露出海口。避免开篇军事模型展览。,缆绳绷紧、脚步和短促呼喊；三音动机第一次轻入。,13,21,一八三九年，鸦片走私与禁烟，使中国的海疆站在冲突的前沿。,史实概述
S03,22,34,12,虎门,2.5D动作绘景,50mm水池边缘近景转中景；木铲、池水、劳作背影分层，远处海面仍然平静。,木铲入画，翻搅、排水；以水流向海完成转场。工序造型待图像考证，不用焚烧鸦片山。,水与木器为主，配乐留低弦。,23,33,林则徐在虎门主持销烟。禁烟维护国家的利益，而英国以武力扩大在华利益的企图，并未就此停止。,史实＋归纳
S04,34,44,10,封套上路,2.5D文书,65mm俯斜近景，纸页合拢，封套掩住墨字；画面外的手影推动封套进入暗处。,动作结束才切；不展示未经考证的具体封缄制度。,纸折、衣袖、木案触碰；音乐三音重复一次。,35,43,沿海发生的事，要被写下，递送，再被阅读，才能进入朝廷的判断。,解释性归纳
S05,44,55,11,案头之外,2.5D室内,50mm从案前烛影缓推到折页，前景笔架虚化；窗外冷光压住暖色桌面。,折页遮住视野；海上帆索声提前进入下一章。,纸声结束后留下两秒室内静气；下一场索具声作声音桥。,45,53,但一纸奏报能够容纳的，始终只是世界的一部分。,解释性归纳
S06,55,65,10,定海海面,3D＋分层绘景,35mm岸侧低机位，舰队从左向右越过画面；岸炮在近景只露轮廓。,前四秒交代船、海、岸三者方位；七秒炮口闪光。章标：1840年7月·定海。,先风帆、后远炮；炮声按距离略后于闪光。,56,64,一八四〇年七月，英军进攻定海。战争越过广东，出现在更北方的海岸。,史实
S07,65,74,9,岸上的震动,3D近景＋2D碎屑,70mm岸炮侧后方固定镜头，与上一镜保持轴线；烟越过炮位，遮住远处船。,尘土落下，一名中远景守军俯身，再起身；不能只让摄影机震动。,炮击瞬间音乐退出；近处碎石、木轮、耳鸣感仅极短使用。,,,,动作留白
S08,74,87,13,消息尚在途中,2.5D驿路蒙太奇,三次硬切：封套近景→雨中驿站檐下中景→夜里递交的手与包裹。50/35/65mm。,3秒、5秒、5秒；同一封套只是递送意象，非特定真实战报复原。,马蹄渐近转屋檐滴水，再转纸包落案；不铺持续噪声。,75,85,城池的得失可以发生在一天之内。消息的传递，却要经过一站又一站。,解释性归纳
S09,87,101,14,展开,2.5D文书主场,85mm折页局部，斜射光显示纸脊；封套移开后，摄影机跟随展开方向缓移。,0–3秒封套；3–7秒展开；7–11秒读到一行；11–14秒停住。正文为转述，边角注明文书意象。,开折声定位在画面动作；人声只读旁白，不扮演奏折原作者。,89,99,对于身在京城的道光，海上的战争首先是一行行文字。文字到了，战场却仍在改变。,解释性归纳
S10,101,115,14,两个时间,2.5D→3D交叉剪辑,案头纸边与海岸线匹配切：案头5秒、海岸5秒、案头4秒；每次构图更紧。,观众先看到变化，案头画面仍是刚展开的纸。最后停在尚未落下的笔影。,海面炮声只在海面响；回案头骤静，低弦留下悬置音。,102,113,距离带来延迟，奏报还要经过选择与理解。判断所依据的现实，可能已经落在现实之后。,解释性归纳
